Input,Response,Bleu-1,Rouge-1
"My final exam is near, but my mental health is getting worse. Any advice?","This is the same with mental health, and we need to take care of our bodies and their health.",0.52,0.07
Who does mental illness affect?,"Everyone has their own diagnoses, they have different levels of self esteem, and their symptoms and symptoms may differ from the others in many different areas.",0.52,0.11
What treatment options are available?,"There are different types of treatment available in the workplace. 
 There is an animation to help you manage your anxiety and depression, and a Tesaurus: coloring book to help you manage your anxiety and depression. People can have different types of treatment in their job, and in different areas. 
 There are two different types of treatment: medication and therapy. 
 There are different types of貫ness treatments. That is what the different types of treatment are generally. They include treatment programs. 
 There are many different kinds of treatment and treatment options. The different types of treatment include: 
 Treatment programs संयced by the workplace are often focused on the individual person and can be much longer in some cases, and the workplace can use various resources to help. A variety of classes are available for different treatment options. 
 tribus and agencies offer a variety of treatment options and services. 
 For a person who/help others, there are different types of treatment, some focused on a person’s needs and others may be focused on the situation of a loved one. In most cases, there will be different types of treatment. 
 It’s helpful to be aware of the benefits and risks of different treatment options.會將 the problem in a situation so its not aτηting your life in the workplace, and to understand that the benefits and risks will be different for you, different for some person, and different for others. 
 It’s important to take your concerns seriously when you are dealing with mental health issues. The staff and team are committed to helping unemployers who have concerns about mental health. 
 The workplace and the community here and around you deserve the help they need. If you are in distress, it can be a great idea酯 to talk to people or services in the workplace. 
 This program will allow you to find out, learn and recognize the issues with your mental health. They will help you recognize symptoms of depression, and they can provide advice that you can be used to diagnose problems, and to help you see other opportunities. 
 It’s important to make changes in the workplace. When you are feeling anxious, it is important to seek professional help from a different professional. A mental health program can offer you a better understanding of your mood, and your situation, and can help you find support through different levels of care. 
 There are different types of treatment available in the workplace, including: 
 There are different types of treatment in the workplace and between different companies. A lot of people see different types of treatment as a mix of the different types of treatment. They often hear about these different types of treatment as a combination. There are a variety of different types of treatment, and different types of treatment. To learn more about these different types of treatment and treatment, visit the Association of Psychologists in Canada’s website. 
 The types of treatment may include: 
 It’s important to understand that there are different types of treatments, that people with different treatment options may experience different types of treatment, and that different types of treatment may have different levels of success. You should expect that the professionals offer the best of intentions to understand your struggles and bring help you to the right program. 
 Treatment programs and services offer different types of treatment for different groups of people, so they may have different sizes, including: 
 It’s important to understand that treatment programs and services may also include different levels of care, such as mental health professionals. They can include some mental health services—therapies, medicine, exercise, etc. 
 It’s important to understand that some types of treatment are usually offered by some specialist professionals, while others may be offered by other specialist professionals.",0.05,0.09
Where can I go to find a support group?,The first step to finding a professional is to make an appointment for the appointment itself.,0.24,0.1
What is mental health?,"A health check on your head of self esteem, brain, and other bodies can help you get a sense of self-esteem and a better understanding of your symptoms. Also, mental health information can help you find the right professional, as well as helping you understand and understand the signs and symptoms of mental health and the way that you can help yourself.",0.1,0.1
What should I do if I am worried about a friend or relative?,"If your friend or relative is a friend of someone you know, let them know that you care about them, and that you love them. We will understand what they need.",0.14,0.12
"Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.","As someone who has concerns about eating disorders, that is really important. You should talk to him about any kind of conversation and make sure it is a friendly one. In your relationship, his actions are the ones you should follow.",0.43,0.18
"I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.",There is a good chance she is getting a kiss and could mean that a kiss can take a whole day and she has a bad day.etapan of fact they can take on the centimsories and just brushing helps the most but I think her choice would be.,0.37,0.29
"Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.","He is doing OK, no? Sounds like we have a drug problem. You are not alone with him. You have to get a diagnosis. But we do have a responsibility, even if we do not. But I think we have a responsibility to turn out someone. We just get better, we are all on this path, but I hope we have it.",0.21,0.21
I have a final exam soon but I have mental health problems. What should I do?,"As I have said, I am at an unschool level and it is going to be difficult to get better at school. I would recommend learning more about the various aspects of school as to where you are going. That is what will make things easier for you.",0.62,0.16
