Input,Response,Bleu-1,Rouge-1
"My final exam is near, but my mental health is getting worse. Any advice?",I am going through this right now! I have been doing everything that can be done for me (like taking medication) so far...,0.48,0.06
Who does mental illness affect?,I am an adult who has been diagnosed as having bipolar disorder for over 10 years now (and I have had depression since childhood). It was my first diagnosis of this type that made me feel like something would happen if i did anything else than go into treatment or get help from someone...,0.27,0.09
What treatment options are available?,There have been no studies on this yet but I would suggest that you try meds like paroxetine or clonazepam for anxiety,0.14,0.13
Where can I go to find a support group?,"There are many groups on social media like this one that you will be able to:

Facebook - You have friends who may need help or advice",0.25,0.22
What is mental health?,It can be hard for people who are struggling mentally or have been diagnosed as having an eating disorder (ED) but I am here because of you guys ❤️,0.06,0.09
What should I do if I am worried about a friend or relative?,I have been doing this for years now (and even before that) but you are right - there will always be people who care more than others,0.03,0.09
"Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.",I have had similar experiences before but i think you should be able just say “it was hard on your part…but we are all here together anyway….we need each other out there..and that means more than one person needs us too!,0.28,0.15
"I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.",It sounds like you are trying too hard at this one! It will be easier when your friends have been doing their own cleaning of themselves before (or even just having someone else cleanse yourself).,0.18,0.17
"Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.",I would say you should be more careful about your thoughts or feelings because they may get into someone else's mind if something goes wrong,0.12,0.08
I have a final exam soon but I have mental health problems. What should I do?,You are going through an important decision about your life right now! You will be able get back on track as you work towards that goal,0.44,0.08
Which types of people are affected from a mental disorder?,"People who have been diagnosed as having an eating disorders diagnosis for at least 5 years or more.
They usually do well on medication but they may experience some side effects that can be life threatening if left untreated",0.38,0.13
Which treatments could I receive?,If you are taking any medication that may affect your mood or anxiety then this will be helpful for some people but if there was no reason why they needed treatment please do NOT take them because of their side effects,0.22,0.22
Where should I look for a therapy group?,There are many groups on this site that you can find therapists who will help your child or parenting skills as well be able get some advice from other parents about their own problems,0.24,0.25
