Input,Response,Bleu-1,Rouge-1
"My final exam is near, but my mental health is getting worse. Any advice?",I am going through an anxiety attack right now so I will be posting this post as soon possible,0.53,0.06
Who does mental illness affect?,I am an adult who has been diagnosed as having bipolar disorder for over 10 years now (and I have had depression since that time). It was really hard on me because of my anxiety about being judged or even treated differently than others but at least this year we are all going through some kind type thing right?,0.25,0.11
What treatment options are available?,"If you have been diagnosed as having bipolar disorder or schizophrenia then there may be some treatments that can help reduce your symptoms. 
(1) Psychotherapy ie: Cognitive Behavioral Therapy (CBT), Positive Psychology,  EFT, (2)",0.16,0.14
Where can I go to find a support group?,"There are many groups on social media that you could join for free or at an affordable price. 
(If your family members have access)",0.3,0.23
What is mental health?,I am an adult who has been through depression for over 10 years now but I have never had any problems before or ever felt like that at all so far this year when my parents are going away they will be gone forever because of covid19 which means we cannot go out anymore,0.07,0.14
What should I do if I am worried about a friend or relative?,If you are concerned that your friends may be experiencing anxiety and/or depression then talk them out of this situation as soon possible so they can get better.,0.16,0.2
"Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.",I have had similar conversations on social media (Facebook) but they are more focused than you might think,0.15,0.05
"I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.","If you are really worried about your girl getting hurt (or worse), just let go of all expectations regarding their hygiene habits.",0.23,0.12
"Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.",I would suggest you go see your GP or psychiatrist first if there seems some sort issue,0.18,0.09
I have a final exam soon but I have mental health problems. What should I do?,"If you are feeling anxious or depressed please talk about your anxiety/ depression symptoms (eating disorder) and/or how they affect their ability for work/life balance. 
(Edited - this post was originally published on my Facebook page so that people can see what i am up against.)",0.44,0.13
