Input,Response,Bleu-1,Rouge-1
"My final exam is near, but my mental health is getting worse. Any advice?",Keep an open mind and think about yourself and your situation,0.45,0.04
Who does mental illness affect?,"I am a very depressed person and depressed as well, having a lot of bipolar and other thoughts and memories. I get this feeling that the only thing that is stopping me is the thought of it. My other hobbies include videogames and blogging, reading books and enjoying movies and music. I used to be pretty socially inept, and now I am pretty confident in my Dependability. Depression is probably not affecting me at all, but it does impact me in some way.",0.4,0.21
What treatment options are available?,"Nausea/anxiety medications and sleep medications have been helpful, but in some cases they have been effective and are also effective in reducing symptoms. In addition, most of the drugs are not toxic or addictive so you do not need to take them. Treatment includes some medications that may help prevent side effects, like psychotherapy and antidepressants.",0.19,0.16
Where can I go to find a support group?,Mental health services and support groups may also be useful. Refer to www.morocercure.org for more information.,0.45,0.25
What is mental health?,"I think of it in terms of things like a disorder like depression, anxiety, and depression. When it comes to mental health, depression has a lot of side effects. My family were going through it, I think. The idea that someone else is going through the same thing, and that someone else is going through something similar. It just sounds like there are a lot of different mental health issues. When I was growing up, I used to think the same. I remember it was pretty extreme. I yard off the shit I hear that someone who did things to others was going through something similar. I felt like shit myself. The only real thing was just being able to live with it. I can remember the feeling of being out there and then going, ""No, I can see if I can do that again"". And then that happened. I went on a binge, drank like a ton of water. That felt horrible. I was in depression for years. Eventually I realized, I had to do something. But I just kept going. I think I would have liked to stay in a different place without going anywhere. I could have gone out with a buddy, but I was like ""I could not find that place."" Hearing the same shit over and over again, that I can see if I can do something. Then finding some kind of support from others. Then finding something that I want to do or do not want to do, or I could take care of myself. It sounds like that is how I got into depression, right? That I could look after myself. Thenministry someone I care about, and let them work on something if thirds of my life was wasted. Now that I am a kid, I am kind of depressed and resentful of people who would be caring for me. I am in a different environment at my age, but the other kids do not like being in that environment. I do not think I was always that way. There is so much that I want to achieve, and that I know I can do, but that is not how it works. There is so much going on. When you are a kid, it does feel like you are putting in work that is not supposed to be done. And that is going to be stressful for the rest of your life. So, when you are in your 20's or 30's, you get depressed and resentful. Things that you have accomplished. But you do not think the next decade will be so great. And that is a lot of work. And you are in a different environment. It is exhausting to put that on hold, but it is worth it.",0.02,0.03
What should I do if I am worried about a friend or relative?,"A friend, family member, or friends who is on medications (vyvanse, or methadone) should probably not be at all surprised by the warning signs in a friend or relative case.",0.08,0.08
"Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.","Yes, you would be welcome to go into a gym or something like that and ask for your gym membership and it will justyet. The fact that there is something that is common among endurance athletes suggests that they are not necessarily eating too much and you would be surprised how many calories you are actually eating at one time. I know it is not a question. However, in some people there is going to be some kind of benefit if they do not just stop talking about calories, they will actually be making a difference. Also, exercise is one of the best ways to be healthier, exercise does not always have to be just one exercise, and some people like the notion that exercise is not just another way of exercising.",0.3,0.27
"I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.","The beauty of it is, you are not alone in wanting someone to kiss your lips and give you permission. It is not something that everyoneroduces, and they are not perfect. It takes time and effort to work through, it is what you do.",0.38,0.25
"Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.","Hey guys. I am currently gettingonia in my arms and being sober in between appointments. My partner does not have anything on the side, even his buprenorphine and opiates. He may have been using benzos at his dealer, maybe to try and buy more money. I have talked to him about buying a bottle of water and a bottle of water, but he seems to think they are too expensive. I have done this before (I have taken a bottle of water to his house last night) and he also feels like these drugs are too cheap. I do not know what to do. I do not know what to do. I just wanted to know if anyone has advice, advice on where I can get help. If not, I appreciate it. If not, I appreciate you. I would really appreciate it",0.11,0.14
I have a final exam soon but I have mental health problems. What should I do?,"Try to have regular, supportive conversations with your psychiatrist. If you need a more in-depth look at your mental health, go to the Canadian Mental Health Association. If you do not have a doctor in Canada, visit the Canadian Mental Health Association website. If your diagnosis does not match yours, the provincial mental health authority will help you choose a treatment.",0.46,0.14
