Input,Response,Bleu-1,Rouge-1
"My final exam is near, but my mental health is getting worse. Any advice?","If your last exam was just a couple weeks ago and you still have serious concerns about your mental health and need to talk with a mental health expert, it's very important that you go on the record. Your doctor will help you with some of the basics of mental health:
 You cannot be an active participant in activities, hobbies, or activities unless you take a physical exam. You cannot drink alcohol or smoke. You cannot exercise or abnormally overdose with drugs, alcohol, or other substances. Your doctor can also prescribe medications. You can be monitored for signs of mental illness by calling 911. You can be transferred to another unit of your local mental health services.
 The physical examination is also an excellent opportunity to talk with a mental health expert if you are notreifying the medical examiner of serious mental health issues. Your medical professional will review your mental health report as it relates to your mental health, and will evaluate any symptoms you have. The expert is free to talk to you or to ask questions. If you are unsure about your mental health or need more details on your treatment plan, call 911. You can call your local mental health program or the Substance Abuse and Mental Health Services Administration at 866-799-5656.
 If you do not know your current treatment plan, you can seek help by speaking to a mental health expert at 704-656-5656.",0.41,0.34
Who does mental illness affect?,"A lot of people are diagnosed with mental illness. I started noticing this around my 17s when I was young and I started thinking that was my ""diagnosis"" of what was going on. I also think the ""diagnosis"" in this context makes it very clear the more people I am exposed to the media, the more anxiety and depression they have. People think of mental illness by saying it is simply the result of people trying to ""discipline"" or even worse. What I have found to be true is that the term ""diagnosis"" seems to conflate mental illness with an illness. The same cannot be said about mental health treatment, mental health services, or mental health advocacy. The main difference is that they are often a combination of diagnoses and different criteria. For example, anorexia (I have bulimia) is often treated with therapy, while bulimia (the body image problem) tends to be treated with medication and therapy. This makes it easier for me to identify where a problem is going. However, it also makes it much easier to get treatment as I am not able to do the things I want because I have bulimia. I also think that the ""diagnosis"" has become a bad thing that only worsens the symptoms because the more people get the more anxious and depressed I am. Many people who experience anxiety or depression feel they are having to accept that their mental health is being treated with medication because they feel like that is what they are experiencing. For example, I see a therapist once, and I have seen my therapist in two different therapists that I am attracted to, but now I have felt my anxiety and depression for quite some time and I do not have a reason to feel it anymore. I see lots of people diagnosed with mental illness, but I do not think I am necessarily aware of it and I do not know what the difference is between being diagnosed with depression and being diagnosed with depression. I think the ""diagnosis"" in this context is just a symptom of being vulnerable to it and the way it manifests. There is a lot of anxiety associated with mental illness and my therapist will help me to control my impulses and be better. Sometimes I see people on YouTube or a forum that talk about having anxiety, depression, or suicidal thoughts but most of the time I have not even tried to talk to my therapist. So far, I have seen a lot of people diagnosed with mental illness and their therapist will help me to manage my anxiety and depression. I have learned a lot from them and I just think it is important to get treatment right away because of how much they want to help me and how difficult it can be for them to help me when I struggle.",0.19,0.24
What treatment options are available?,"Druid Treatment:
This treatment option is a low dose of anti-convulsive medications (such as Methylphenidate, which has been proven to work against the effects of addiction, and is also used by some people who use it), but it is not prescribed by the FDA, nor does it require EDs to be given. Methylphenidate has been around for over a decade and has been on the market for about a decade, it was approved in Canada in the early 2000s and has been used for over a decade in Canada. Methylphenidate has been found to work against the effects of alcohol by increasing dopamine and dopamine release in the brain. Its main side effects, however, include hallucinations, delusions, hallucinations of thoughts, and hallucinations of other thoughts. Methylphenidate has been approved in more than 80 countries. It also has been used by some people who say they would prefer a combination of psychotherapy and medication. You should also take your own doctor to help determine the severity of your symptoms, especially for people with depression. They are important to consider because they can result in severe, sometimes irreversible, brain damage. You can get Methylphenidate therapy here: https://medicarefree.com/",0.09,0.15
Where can I go to find a support group?,"You can find groups to talk to your doctor or therapist. There are plenty of groups out there for everyone in Canada and there are a few that you can use to talk about your mental health. The best group is the one you want to go to and talk to a mental health expert. There are several groups in Canada, including the Association of Canadian Mental Health Services (ACHS) and the Canadian Association for Substance Use and Illness (CAUSE). It also works with the Canadian Association of Substance Use and Illness (CAUSE). There is also some general mental health organizations and programs available in Canada. In the last few years, there have been a few different types of groups in the province. For instance, the BC Health Association was started in late 2013, and now there are groups for adults, teens and adults who have tried using drugs for the past two years, to find a group. If you have an individual who has struggled with mental illness and a support group, they could help you find a group. A lot of groups have a lot of resources available online, and most people use online forums, chatrooms, forums, etc. If you find a group that can help you find a mental health expert, they can be helpful. For an organization that provides support, the BC Health Association works with a mental health professional. The BC Health Association is not just for professionals, they also provide online support, referrals, and other resources. There are groups in the province, including the Canadian Association for Substance Use and Illness (CAUSE), which provides community support to the public and youth groups (CAUSE) for adults and youth ages 6–12. If you plan to attend the Canadian Association for Substance Use and Illness, or the Canadian Association for Substance Use Education, you can find an online group in your area to meet with members. It also helps to keep up with local meetings. You may also want to check out a Canadian Association for Substance Use and Illness website. There are more groups in the province.",0.08,0.15
What is mental health?,"It is not a diagnosis at all, it is a symptom of a mental health issue. Psychologists generally call these disorders mental disorders in general, but this one does not require a diagnosis because of the severity and variety of symptoms listed in the DSM, as well as the fact that some people are more severely affected than others. Most mental disorders require treatment, and people with mental health problems can be treated in a hospital or clinic.",0.11,0.13
What should I do if I am worried about a friend or relative?,"I feel like I do not understand you’t. This is a serious issue and I really need to get your attention. What I do not understand is that being vulnerable is not a good thing and you should just not let it happen. What I do understand is you are in a situation where things will not go well for you. There may be situations when you are happy and you will get back to your normal. There may be situations where you will not be able to make a lasting impact but you should try to do everything in your power to make a lasting impact on yourself. You need to listen to yourself, be open about your feelings and understand that when something is wrong or upsetting you need to be there for it. The more people think you are okay with it or listen to it, the more likely you will be able to make an impact. Just in case, there may be situations where it is okay to let it happen. You can also just be honest with yourself and say it is not your problem and leave it at that. You also need to be honest and open to new experiences, like new places of learning and new people. Being compassionate, optimistic, creative Goes hand in hand with being able to get back to your normal self.",0.04,0.07
"Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.","I do not know if my partner is going to be okay with talking about his calories. He is a hard-working, motivated, creative athlete and he has had some serious heart problems in recent years that have been affecting his energy level. He has struggled with his eating disorder and has noticed a noticeable decrease in energy levels following a meal and he will also notice an uptick in sweating, bloating and a decrease in heart rate. You also cannot simply go out and say that you are hungry, you do not have to be. It may come back to bite him if it bothers him. However, it is important to note that the reason that he does not want to talk about his feelings is because of his ED history. You cannot do that when talking about calories. You just need to be reasonable in your response.",0.33,0.29
"I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.","I have no issue with you guys. You are going to do what is best for you. Keep trying to find out why you do not like her and it will eventually change. You will still have to take care of her. I feel like your actions are an attempt to help the situation. I do not see why you should keep trying to help her, however. She is probably a bit of a bitch, and you are trying to help her through this as much as possible. She does not deserve this, or anything, and you have to be honest with her. If sideline-shaking is not what you want, I do not see how you will make a difference. You are trying to make her feel happy strolls around the park without actually having to stop, even if that makes it harder on her or even more difficult on herself. I would say she is getting better. Your actions and your attitude are not helpful. I do not want to offend her in any way. You are not the best at it, so it is up to you.",0.21,0.27
"Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.","I am wondering if anyone else is experiencing this. I just had my partner of 8 years tell me he has been prescribed drugs that cause addiction and addiction and the results of all the tests they put him through is pretty much the same. I do not think it is an addiction thing. It is just that I do not know if this is what they do to him. As for me, I just want to get him to stop abusing anything he is being given. This is one of the things that is driving me crazy.. It is just that this is not the right time to start. I just want him to get help right now.",0.13,0.15
I have a final exam soon but I have mental health problems. What should I do?,"Do not panic - there is no telling what your symptoms and symptoms will be. I am in recovery and have been doing well, and am not taking any medication to get there. I am taking a few SSRIs and have been feeling better. If you notice an improvement and feel anxious afterwards, it is likely because your symptoms are not the result of a medication. I think you may have some symptoms that will be noticed with this exam, but you should not be confused with something that is not happening and is normal. I am not taking anything to treat depression or other serious mental illness, and would rather focus on helping you with your mental health problems.",0.56,0.31
