Input;Response;Bleu-1;Rouge-1;;;;;;;;;Input,Response,Bleu-1,Rouge-1;;
My final exam is near, but my mental health is getting worse. Any advice?;My psychiatrist recommended an exam in early August. She said this is a long term affair, and they are not able to work anything out. If your anxiety gets the better of you after the exam (which is pretty common) then the exam is the best option. You might not have to get any tests, but if your anxiety goes down or if you find yourself doing poorly in school, you may want to get a second exam (which I have not found for a while). Some people might not get the second one, but they might end up doing good and finding success.;0.49;0.24;;;;;;;;;;;
Who does mental illness affect?;The average person has an illness and it affects so many different people, and I am sure that is just me. The most common illnesses are anxiety and depression. Other people also have anxiety and depression and have a lot of health problems. People with OCD have anxiety and it is pretty common. People with BPD tend to have problems with eating and other physical activity. People with psychosis have anxiety and its associated symptoms. People with schizophrenia have a lot of things that are called delusions and hallucinations, and it usually means that they see things, think they are real, and even think they are crazy. People with BPD are quite creative, creative and humanly in generating responses. Some people think they are mentally ill, and some people think they are just lying. They are not. They just have a lot of ideas about things, and sometimes it is just that their thoughts get stuck in thoughts they do not understand. Some people do not believe in God, because they do not believe that human beings are not just human, but that God is human. I am trying to understand people with these disorders, how they respond to what they do not understand. I have been in therapy for about 4 years and have a lot of amazing experiences with people with these disorders. I love to watch people work, play games, eat healthy food, write, and engage in creative activities. I am a big advocate for working with people with mental illness, and I love seeing people gain weight and exercise. It is important to talk about this with your therapist before any decisions are made, because you need to know why this person has such a hard time dealing with what they experience and how to help them. I have had people diagnosed with BPD who do not really need help or anything, because they do not believe the things they experience. I am not sure if this is a good or bad thing. I have been with people who have had such difficult times with people with mental illness, and I just do not know why this exists. I am just curious, if anyone else has this issue or experience please tell me what you feel like. Thanks.;0.21;0.22;;;;;;;;;"My final exam is near, but my mental health is getting worse. Any advice?,""My psychiatrist recommended an exam in early August. She said this is a long term affair, and they are not able to work anything out. If your anxiety gets the better of you after the exam (which is pretty common) then the exam is the best option. You might not have to get any tests, but if your anxiety goes down or if you find yourself doing poorly in school, you may want to get a second exam (which I have not found for a while). Some people might not get the second one, but they might end up doing good and finding success."",0.49,0.24";;
What treatment options are available?;"Psychiatric or cognitive/psychotherapy. Many people think that mental health services might be the only way to treat a mental health condition. However, there are many resources available on the internet, like the DSM-5. While there is no information on the list, these providers offer services such as the following: Cognitive Behavioral Therapy (BCT) - Provides individuals with a way to learn to overcome difficulties, and other psychotherapy tools for recovering from mental health problems. Psychotherapy - Provides individuals with strong relationships with their loved ones. These techniques are often helpful in setting boundaries, helping them to get better, and providing them with a supportive and flexible environment. Cognitive Behavioral Therapy (CBT), which is a cognitive behavioral treatment, offers a new approach to treatment based on the idea of ""emotional integration,"" by providing individuals with a new set of rules about what counts as healthy and how to be able to respond appropriately to stressors. The CBT process is based on cognitive therapy, and is usually followed by an assessment of the individual and the cognitive abilities necessary to achieve a goal. Specific terms for CBT include: Change your ways of thinking. Learn to focus on the emotional and cognitive responses of your loved one. Learn to focus on making decisions based on a goal. Develop a set of goals that you believe are achievable, or that your loved one can achieve.";0.09;0.15;;;;;;;;;;;
Where can I go to find a support group?;I have been looking for a social media support group for over 2 years and a bit of encouragement and advice. I was always anxious and I was constantly searching for a way to help, so I just thought I would do a search and found my local support group. You can call them out on social media, send them a letter, call them on the phone, text them anything at all. If they know how to use their social media, they can even tell you their name and contact you online. They also have a group called the Psych Support Group for mental health professionals. I hope you all enjoy the message and help you get someplace to keep looking. For those of you who are struggling with psychosis, the following is a brief list of things to know: Psych Support Groups are for people with or near the same condition:;;;;;;;;;;;"Who does mental illness affect?,""The average person has an illness and it affects so many different people, and I am sure that is just me. The most common illnesses are anxiety and depression. Other people also have anxiety and depression and have a lot of health problems. People with OCD have anxiety and it is pretty common. People with BPD tend to have problems with eating and other physical activity. People with psychosis have anxiety and its associated symptoms. People with schizophrenia have a lot of things that are called delusions and hallucinations, and it usually means that they see things, think they are real, and even think they are crazy. People with BPD are quite creative, creative and humanly in generating responses. Some people think they are mentally ill, and some people think they are just lying. They are not. They just have a lot of ideas about things, and sometimes it is just that their thoughts get stuck in thoughts they do not understand. Some people do not believe in God, because they do not believe that human beings are not just human, but that God is human. I am trying to understand people with these disorders, how they respond to what they do not understand. I have been in therapy for about 4 years and have a lot of amazing experiences with people with these disorders. I love to watch people work, play games, eat healthy food, write, and engage in creative activities. I am a big advocate for working with people with mental illness, and I love seeing people gain weight and exercise. It is important to talk about this with your therapist before any decisions are made, because you need to know why this person has such a hard time dealing with what they experience and how to help them. I have had people diagnosed with BPD who do not really need help or anything, because they do not believe the things they experience. I am not sure if this is a good or bad thing. I have been with people who have had such difficult times with people with mental illness, and I just do not know why this exists. I am just curious, if anyone else has this issue or experience please tell me what you feel like. Thanks."",0.21,0.22";;
 Diagnosed with schizophrenia or amitriptyline B (also known as buprenorphine). Symptoms:;;;;;;;;;;;;;;
Abnormal thoughts and emotions;;;;;;;;;;;;"What treatment options are available?,""Psychiatric or cognitive/psychotherapy. Many people think that mental health services might be the only way to treat a mental health condition. However, there are many resources available on the internet, like the DSM-5. While there is no information on the list, these providers offer services such as the following: Cognitive Behavioral Therapy (BCT) - Provides individuals with a way to learn to overcome difficulties, and other psychotherapy tools for recovering from mental health problems. Psychotherapy - Provides individuals with strong relationships with their loved ones. These techniques are often helpful in setting boundaries, helping them to get better, and providing them with a supportive and flexible environment. Cognitive Behavioral Therapy (CBT), which is a cognitive behavioral treatment, offers a new approach to treatment based on the idea of """"emotional integration,"""" by providing individuals with a new set of rules about what counts as healthy and how to be able to respond appropriately to stressors. The CBT process is based on cognitive therapy, and is usually followed by an assessment of the individual and the cognitive abilities necessary to achieve a goal. Specific terms for CBT include: Change your ways of thinking. Learn to focus on the emotional and cognitive responses of your loved one. Learn to focus on making decisions based on a goal. Develop a set of goals that you believe are achievable, or that your loved one can achieve."",0.09,0.15";;
Low interest in personal relationships; hobbies; or activities;;;;;;;;;;;;
Persistent anxiety and panic attacks;;;;;;;;;;;;"Where can I go to find a support group?,""I have been looking for a social media support group for over 2 years and a bit of encouragement and advice. I was always anxious and I was constantly searching for a way to help, so I just thought I would do a search and found my local support group. You can call them out on social media, send them a letter, call them on the phone, text them anything at all. If they know how to use their social media, they can even tell you their name and contact you online. They also have a group called the Psych Support Group for mental health professionals. I hope you all enjoy the message and help you get someplace to keep looking. For those of you who are struggling with psychosis, the following is a brief list of things to know: Psych Support Groups are for people with or near the same condition:";;
Low appetite;;;;;;;;;;;; Diagnosed with schizophrenia or amitriptyline B (also known as buprenorphine). Symptoms:;;
Weak motivation to move around or explore new places;;;;;;;;;;;;Abnormal thoughts and emotions;;
Feeling depressed;;;;;;;;;;;;Low interest in personal relationships, hobbies, or activities;;
Need to be held responsible for your mental health and reputation; but do not get hurt if others do not see you at work;;;;;;;;;;;Persistent anxiety and panic attacks;;
Low interest in school or other activities that distract from your goals;;;;;;;;;;;;Low appetite;;
Frequent bouts of anger and depression; especially if you have depression;;;;;;;;;;;Weak motivation to move around or explore new places;;
Depression by definition is not something the standard diagnostic test. Even a small amount of alcohol or nicotine can be harmful if it causes your depression. There is no need to get too attached to others.;;;;;;;;;;;;Feeling depressed;;
Do not get the impression that you are alone or struggling with mental health. You need to work on your problem and not worry that your problems will get worse if you do not talk to others.;;;;;;;;;;;;Need to be held responsible for your mental health and reputation, but do not get hurt if others do not see you at work;;
Psych Support Groups are for people with schizophrenia; amitriptyline B (also known as buprenorphine); bipolar disorder;" or other psychiatric conditions that may affect your mental health. Many people with schizophrenia and bipolar disorder do not get treatment. Treatment is usually done in groups where all symptoms are monitored.""";0.08;0.14;;;;;;;Low interest in school or other activities that distract from your goals;;
