Input,Response,Bleu-1,Rouge-1
"My final exam is near, but my mental health is getting worse. Any advice?","I am sorry you are going through this. I have been there before. It is hard to study when your mind is racing. I would suggest taking a break from studying for a bit. Go outside or do something else that will take your mind off of school. When you come back to studying, try to focus on one thing at a time. Do not worry about all of the material at once. You can always go back and review later if you need to. Also, make sure you are eating well and sleeping enough. These things help keep our minds working properly. Good luck!",0.53,0.26
Who does mental illness affect?,Everyone. It can be as simple as having a bad day or as severe as being diagnosed with schizophrenia. Mental illnesses are very common and they do not discriminate.,0.59,0.15
What treatment options are available?,"There are many different treatments for depression. It depends on what type of depression you have. There are medications, therapy, and even lifestyle changes that can help. I would recommend talking to your doctor about which one might be right for you.",0.33,0.32
Where can I go to find a support group?,I am not sure if this will help but I found a website called meetup.com where you can search for groups based on your interests or location. I have been going to a depression/anxiety support group for about 2 years now and it has helped me so much. It is nice to be able to talk to people who understand what you are going through.,0.18,0.18
What is mental health?,Mental health is how you feel about yourself and your life. It is how well you can cope with stressful situations. It is how well you are able to function on a daily basis. Mental health is how well you are able to interact with others. It is how well you are able to make decisions. It is how well you are able to think clearly. It is how well you are able to sleep at night. It is how well you are able to eat. It is how well you are able to work. It is how well you are able to play. It is how well you are able to love. It is how well you are able to laugh. It is how well you are able to cry. It is how well you are able to live.,0.03,0.05
What should I do if I am worried about a friend or relative?,"I would say something like ""Hey, I have noticed you are acting differently lately. Is everything okay?"" Then just listen to what they have to say. Do not judge them or try to fix their problems. Just be there for them.",0.14,0.16
"Is it fair to ask may partner if he can refrain from talking about calories? My partner is an endurance athlete and has been increasing his training intensity, frequency, etc. It is happened a handful of times now where, around meal time, he will reference how many calories he burned per his app or whatever he uses to program his workouts. For context, he references calories in this context like, “I am ready to eat because I am so unusually hungry, which makes sense because I apparently burned x calories during my workout”. He is aware of my ED history and has been supportive so far. I want to ask him not to talk about calories in front of me because it is honestly triggering. That said, I do not know how to approach this conversation or if it is even fair of me to make this request. TIA for any advice or support.","It is not unreasonable at all to ask your partner to refrain from talking about calories when you are eating. You have every right to ask this of him. I would say something along the lines of “Hey babe, I just wanted to let you know that when we are eating together, I would really appreciate it if you did not mention calories. I know you are trying to be supportive but it is actually triggering for me.” Then if he continues to bring up calories, you can remind him again. I think it is important to remember that you are not being unreasonable here. This is a very common thing for people who struggle with disordered eating to find triggering. I hope he understands and respects your wishes!",0.38,0.35
"I need advice on how to approach my depressed girlfriend. I am seeing her tonight for the first time in a few days. Last time I saw her, I noticed her teeth were unclean, to the point there was physical build up on them. She is my girlfriend, so obviously she is going to want a kiss, but I highly doubt she is brushed them since then. If that is the case, what is the best way to tell her I do not want to kiss her if she has not brushed her teeth in weeks? I need to set my hygienic boundaries but I do not want to offend her or make her feel bad and judged.","You can say something like ""I love you, but I cannot kiss you when your breath smells like that."" It is honest and direct without being mean.",0.31,0.18
"Partners drug test kit was positive. I am seeking advice. My partner of 10 years has always struggled with addiction. Heroin in the past, opioids and benzos etc. He is currently getting monthly buvidal (Buprenorphine) injections at his doctor.. I have been trying to support him as much as I can. We have been through a lot and I adore him. He is not a bad human, he is a hard working beautiful human that is struggling. Last night I took a drink from a water bottle in my car, that he had bought that day - it tasted like chemicals and I felt strange after. Upon asking him, he denyed anything (maybe It was in my head). I got an at home drug test kit this morning and tested the bottle/ water. It tested positive for opioids and methadone. I confronted him and he said he f'd up.. I do not know what to do.. it is the looking me in the eyes and lying.. I feel like such a fool. We are actively trying to conceive.. I am feeling numb as it is just a repeat cycle of dishonesty. The trust is broken. I do not know who to turn to for support.. for either of us. I have attended appointments with his doctor, I did not think opioids were supposed to have an affect when on the injections.. that taking drugs were pointless. I do not know what to do anymore.. I am exhausted by it.. and I am fully aware he is too.",I am so sorry you are going through this. I am not sure if you are still together but I hope you are able to get out of this relationship. You deserve better than someone who lies to you about something so serious. I would be very concerned about your safety and the safety of any children you may have. Please take care of yourself.,0.27,0.28
I have a final exam soon but I have mental health problems. What should I do?,You can ask for an extension or you can take the test when you are ready. You can also talk to your professor about your situation.,0.57,0.09
